Film,Production,Cast
2,Winter Day Dreams ft. Franny's Feet and Olivia,Kidtoon Films
6,Garbage Dreams,Wynne Films
8,Daybreakers,Lionsgate / Film Finance Corporation Australia
15,The Book of Eli,Warner Bros. Pictures / Alcon Entertainment / Silver Pictures
20,House of Numbers: Anatomy of an Epidemic,Knowledge Matters Productions
22,Extraordinary Measures,CBS Films
29,Edge of Darkness,Warner Bros. Pictures / GK Films / BBC Films
3,Ajami,Kino International
5,Dear John,Screen Gems / Relativity Media
6,Super Why! Attack of the Eraser,Kidtoon Films / Out of the Blue Enterprises / Decode Entertainment
12,Percy Jackson & the Olympians: The Lightning Thief,20th Century Fox / Fox 2000 Pictures / Dune Entertainment / 1492 Pictures
17,Celine: Through the Eyes of the World,The Hot Ticket
19,The Ghost Writer,Summit Entertainment
26,Cop Out,Warner Bros. Pictures
5,Alice in Wonderland,Walt Disney Pictures
6,Strawberry Shortcake: The Berryfest Princess Movie,Kidtoon Films
12,Green Zone,Universal Pictures / Relativity Media / Working Title Films
19,The Bounty Hunter,Columbia Pictures / Relativity Media / Original Film
26,Hot Tub Time Machine,Metro-Goldwyn-Mayer / United Artists
31,The Last Song,Touchstone Pictures
2,Clash of the Titans,Warner Bros. Pictures / Legendary Pictures
3,Care Bears: To the Rescue,Kidtoon Films
9,Date Night,20th Century Fox / 21 Laps Entertainment
16,Death at a Funeral,Screen Gems
22,Oceans,Disneynature
23,The Back-up Plan,CBS Films / Escape Artists
24,You Don't Know Jack,HBO Films
30,Furry Vengeance,Summit Entertainment / Participant Media / Imagination Abu Dhabi
5,The Infidel,TriBeCa Productions
7,Iron Man 2,Paramount Pictures / Marvel Studios
8,Barbie in A Mermaid Tale,Universal Pictures / Kidtoon Films
12,Metropia,Tribeca Film
14,Just Wright,Fox Searchlight Pictures
21,MacGruber,Relativity Media / Rogue Pictures / Michaels-Goldwyn
25,The 7 Adventures of Sinbad,The Asylum
27,Sex and the City 2,New Line Cinema / HBO Films / Village Roadshow Pictures
28,Prince of Persia: The Sands of Time,Walt Disney Pictures / Jerry Bruckheimer Films
29,The Special Relationship,HBO Films / BBC Films
4,Get Him to the Greek,Universal Pictures / Relativity Media / Spyglass Entertainment / Apatow Productions
11,The A-Team,20th Century Fox / Dune Entertainment
18,Jonah Hex,Warner Bros. Pictures / Legendary Pictures / DC Comics / Weed Road Pictures
23,Knight and Day,20th Century Fox / Regency Enterprises
25,Grown Ups,Columbia Pictures / Relativity Media / Happy Madison Productions
30,The Twilight Saga: Eclipse,Summit Entertainment
1,The Last Airbender,Paramount Pictures / Nickelodeon Movies / Blinding Edge Pictures / The Kennedy/Marshall Company
2,Great Directors,Anisma Films
3,Sesame Workshop Summer Beach Party ft. Pinky Dinky Doo and Dragon Tales,Kidtoon Films / Sesame Workshop
9,Despicable Me,Universal Pictures / Illumination Entertainment
14,The Sorcerer's Apprentice,Walt Disney Pictures / Jerry Bruckheimer Films
16,Inception,Warner Bros. Pictures / Legendary Pictures / Syncopy Inc.
23,Ramona and Beezus,20th Century Fox / Fox 2000 Pictures / Walden Media
30,Cats & Dogs: The Revenge of Kitty Galore,Warner Bros. Pictures / Village Roadshow Pictures
6,Flipped,Warner Bros. Pictures / Castle Rock Entertainment
7,Strawberry Shortcake: The Glimmerberry Ball Movie,Kidtoon Films
13,Eat Pray Love,Columbia Pictures
18,Animal Kingdom,Sony Pictures Classics
20,Lottery Ticket,Warner Bros. Pictures / Alcon Entertainment
27,The Last Exorcism,Lionsgate / Strike Entertainment / StudioCanal
1,The American,Focus Features
3,Going the Distance,New Line Cinema
4,Barbie: A Fashion Fairytale,Universal Pictures / Kidtoon Films
10,Resident Evil: Afterlife,Screen Gems / Capcom Films
13,Repeaters,Rampart Films
15,Never Let Me Go,Fox Searchlight Pictures
17,Alpha and Omega,Lionsgate / Crest Animation Productions
22,You Will Meet a Tall Dark Stranger,Sony Pictures Classics
24,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros. Pictures / Village Roadshow Pictures
30,Norwegian Wood,Soda Pictures / Red Flag Releasing
1,Case 39,Paramount Pictures / Misher Films / Anonymous Content
8,It's Kind of a Funny Story,Focus Features / Wayfare Entertainment Ventures LLC
15,Jackass 3D,Paramount Pictures / MTV Films / Dickhouse Productions
16,Scooby-Doo! Curse of the Lake Monster,Warner Premiere / Cartoon Network
22,Hereafter,Warner Bros. Pictures / The Kennedy/Marshall Company
29,Saw 3D,Lionsgate / Twisted Pictures
3,Crayon,ZiOSS Films
5,Due Date,Warner Bros. Pictures / Legendary Pictures
6,Care Bears: Share Bear Shines,Kidtoon Films
10,Morning Glory,Paramount Pictures / Bad Robot
12,Skyline,Universal Pictures / Relativity Media / Rogue Pictures
19,Harry Potter and the Deathly Hallows â€“ Part 1,Warner Bros. Pictures / Heyday Films
24,Burlesque,Screen Gems
26,The King's Speech,The Weinstein Company
3,Black Swan,Fox Searchlight Pictures / Cross Creek Pictures
4,Curious George: A Very Monkey Christmas,Universal Pictures / Kidtoon Films
10,The Chronicles of Narnia: The Voyage of the Dawn Treader,20th Century Fox / Fox 2000 Pictures / Walden Media
17,The Fighter,Paramount Pictures / Relativity Media / Mandeville Films
22,Little Fockers,Universal Pictures / Relativity Media
25,Gulliver's Travels,20th Century Fox / Dune Entertainment / Davis Entertainment
29,Another Year,Sony Pictures Classics
